8 0
7.87846 1.38919
7.51754 2.73616
6.9282 4
6.12836 5.1423
5.1423 6.12836
4 6.9282
2.73616 7.51754
1.38919 7.87846
4.89843e-016 8
-1.38919 7.87846
-2.73616 7.51754
-4 6.9282
-5.1423 6.12836
-6.12836 5.1423
-6.9282 4
-7.51754 2.73616
-7.87846 1.38919
-8 9.79685e-016
-7.87846 -1.38919
-7.51754 -2.73616
-6.9282 -4
-6.12836 -5.1423
-5.1423 -6.12836
-4 -6.9282
-2.73616 -7.51754
-1.38919 -7.87846
-1.46953e-015 -8
1.38919 -7.87846
2.73616 -7.51754
4 -6.9282
5.1423 -6.12836
6.12836 -5.1423
6.9282 -4
7.51754 -2.73616
7.87846 -1.38919
8 0
